,time,username,likes
2277,2015-01-07 05:00:00+00,ANSYSInc,43667
2282,2015-01-07 05:00:00+00,Cerner,12445
2290,2015-01-07 05:00:00+00,Broadcom,9251
2329,2015-01-08 05:00:00+00,NVIDIA,1737504
2334,2015-01-08 05:00:00+00,Cintas,10705
2339,2015-01-08 05:00:00+00,dexcom,15014
2356,2015-01-08 05:00:00+00,Broadcom,9255
2389,2015-01-08 05:00:00+00,marriottinternational,231838
2405,2015-01-08 05:00:00+00,OfficialCSX,139011
2423,2015-01-08 05:00:00+00,lululemon,1109913
2426,2015-01-08 05:00:00+00,Costco,1243484
2469,2015-01-08 05:00:00+00,EA,3489857
2535,2015-01-08 05:00:00+00,Kraft,37157
2558,2015-01-08 05:00:00+00,LamResearchCorporation,1626
2574,2015-01-08 05:00:00+00,ANSYSInc,43697
2575,2015-01-08 05:00:00+00,PepsiCo,125706
2578,2015-01-08 05:00:00+00,splunk,6453
2614,2015-01-08 05:00:00+00,dollartree,1371442
2642,2015-01-08 05:00:00+00,CDWCorporation,59586
2698,2015-01-08 05:00:00+00,Copart,94901
2699,2015-01-08 05:00:00+00,AnalogDevicesInc,6987
2707,2015-01-08 05:00:00+00,Cerner,12452
2721,2015-01-08 05:00:00+00,illuminainc,3496
2723,2015-01-08 05:00:00+00,Qualcomm,1233382
2789,2015-01-09 05:00:00+00,dexcom,15026
2790,2015-01-09 05:00:00+00,Copart,95114
2818,2015-01-09 05:00:00+00,ANSYSInc,43726
2841,2015-01-09 05:00:00+00,OfficialCSX,139054
2878,2015-01-09 05:00:00+00,Qualcomm,1233810
2889,2015-01-09 05:00:00+00,NVIDIA,1738123
2901,2015-01-09 05:00:00+00,Kraft,37187
2909,2015-01-09 05:00:00+00,Broadcom,9263
2915,2015-01-09 05:00:00+00,lululemon,1110952
2923,2015-01-09 05:00:00+00,EA,3491454
2958,2015-01-09 05:00:00+00,LamResearchCorporation,1628
2993,2015-01-09 05:00:00+00,illuminainc,3504
3017,2015-01-09 05:00:00+00,Cintas,10715
3018,2015-01-09 05:00:00+00,splunk,6481
3041,2015-01-09 05:00:00+00,marriottinternational,231921
3059,2015-01-09 05:00:00+00,Costco,1243806
3137,2015-01-09 05:00:00+00,PepsiCo,125778
3149,2015-01-09 05:00:00+00,dollartree,1371638
3155,2015-01-09 05:00:00+00,CDWCorporation,59590
3199,2015-01-09 05:00:00+00,AnalogDevicesInc,6992
3202,2015-01-09 05:00:00+00,Cerner,12462
3240,2015-01-10 05:00:00+00,Copart,95298
3243,2015-01-10 05:00:00+00,dexcom,15035
3246,2015-01-10 05:00:00+00,splunk,6513
3247,2015-01-10 05:00:00+00,Cintas,10717
3311,2015-01-10 05:00:00+00,dollartree,1371842
3313,2015-01-10 05:00:00+00,CDWCorporation,59588
3325,2015-01-10 05:00:00+00,AnalogDevicesInc,6993
3361,2015-01-10 05:00:00+00,Broadcom,9271
3378,2015-01-10 05:00:00+00,illuminainc,3513
3394,2015-01-10 05:00:00+00,Kraft,37209
3411,2015-01-10 05:00:00+00,marriottinternational,231974
3420,2015-01-10 05:00:00+00,Costco,1244145
3477,2015-01-10 05:00:00+00,PepsiCo,125843
3517,2015-01-10 05:00:00+00,Cerner,12471
3568,2015-01-10 05:00:00+00,ANSYSInc,43758
3572,2015-01-10 05:00:00+00,NVIDIA,1738697
3579,2015-01-10 05:00:00+00,OfficialCSX,139081
3604,2015-01-10 05:00:00+00,Qualcomm,1234202
3626,2015-01-10 05:00:00+00,LamResearchCorporation,1628
3629,2015-01-10 05:00:00+00,lululemon,1112189
3632,2015-01-10 05:00:00+00,EA,3493062
3692,2015-01-12 05:00:00+00,Kraft,37275
3711,2015-01-12 05:00:00+00,eBayGlobal,3326999
3734,2015-01-12 05:00:00+00,Cintas,10726
3742,2015-01-12 05:00:00+00,CDWCorporation,59593
3758,2015-01-12 05:00:00+00,Broadcom,9278
3768,2015-01-12 05:00:00+00,illuminainc,3537
3788,2015-01-12 05:00:00+00,marriottinternational,232114
3855,2015-01-12 05:00:00+00,Walgreens,4374543
3880,2015-01-12 05:00:00+00,OfficialCSX,139147
3892,2015-01-12 05:00:00+00,Qualcomm,1234632
3914,2015-01-12 05:00:00+00,lululemon,1114750
3916,2015-01-12 05:00:00+00,EA,3495689
3953,2015-01-12 05:00:00+00,Copart,95710
3956,2015-01-12 05:00:00+00,splunk,6561
