timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-02-19,404.8900,413.1900,383.3950,395.3700,395.3700,1454365,0.0000
2021-02-12,381.1100,404.1600,379.4800,403.6000,403.6000,1676361,0.0000
2021-02-05,358.1000,384.6600,356.2700,379.4800,379.4800,1604442,0.0000
2021-01-29,376.5900,377.6500,345.4500,354.3700,354.3700,2552448,0.0000
2021-01-22,367.2700,380.7550,365.2700,374.5700,374.5700,1736935,0.0000
2021-01-15,371.6500,378.8500,362.2200,364.2800,364.2800,2472055,0.0000
2021-01-08,362.3500,375.7800,348.5291,374.6600,374.6600,2597001,0.0000
2020-12-31,367.0800,368.0000,358.7200,363.8000,363.8000,1023683,0.0000
2020-12-24,351.7300,369.8200,344.2746,364.1700,364.1700,1619724,0.0000
2020-12-18,336.7500,358.0100,335.2600,357.8100,357.8100,2452487,0.0000
2020-12-11,343.9200,346.6761,328.6000,335.1850,335.1850,1735490,0.0000
2020-12-04,330.1700,345.5400,328.7500,343.4700,343.4700,1842438,0.0000
2020-11-27,318.9500,331.9900,310.9425,330.4100,330.4100,1301845,0.0000
2020-11-20,328.1700,328.7900,313.6400,318.2600,318.2600,1670200,0.0000
2020-11-13,346.1300,348.9800,318.1300,328.2100,328.2100,2109869,0.0000
2020-11-06,304.4450,339.9000,304.4450,336.8000,336.8000,2303073,0.0000
2020-10-30,323.6700,328.3600,301.2550,304.3700,304.3700,1961678,0.0000
2020-10-23,348.7000,353.0400,323.1825,330.2200,330.2200,2374042,0.0000
2020-10-16,340.5600,357.9250,340.2500,349.7200,349.7200,1968679,0.0000
2020-10-09,322.4600,339.1700,314.9000,336.8200,336.8200,2145129,0.0000
2020-10-02,318.3600,336.3500,315.5400,321.5800,321.5800,2377597,0.0000
2020-09-25,300.9100,316.0400,298.3500,312.1600,312.1600,1939989,0.0000
2020-09-18,318.6900,331.4400,299.8900,305.0800,305.0800,2337505,0.0000
2020-09-11,311.3500,327.9750,306.5294,314.0800,314.0800,1841553,0.0000
2020-09-04,336.6500,354.8700,313.7300,321.2100,321.2100,2336990,0.0000
2020-08-28,327.4100,336.7200,322.6600,336.7100,336.7100,1866752,0.0000
2020-08-21,315.1500,328.9200,315.1500,324.5000,324.5000,1543068,0.0000
2020-08-14,311.6200,319.4300,300.4800,313.1900,313.1900,1473042,0.0000
2020-08-07,311.6200,319.8300,307.1600,312.3700,312.3700,2162307,0.0000
2020-07-31,294.9700,312.5600,294.9700,310.6000,310.6000,1872947,0.0000
2020-07-24,301.4800,310.0500,291.5500,293.5100,293.5100,1951875,0.0000
2020-07-17,303.6700,306.2600,289.0800,301.1300,301.1300,2292400,0.0000
2020-07-10,300.1900,307.6000,297.6200,301.6500,301.6500,1803800,0.0000
2020-07-02,283.7900,299.7400,277.1300,297.9700,297.9700,1633200,0.0000
2020-06-26,283.4900,294.4500,280.2600,283.0800,283.0800,2876645,0.0000
2020-06-19,265.6800,295.1100,265.6800,281.5900,281.5900,3081105,0.0000
2020-06-12,286.3700,293.0600,266.7800,270.2700,270.2700,2672444,0.0000
2020-06-05,281.8500,290.9900,279.0000,289.1000,289.1000,2199127,0.0000
2020-05-29,274.3900,283.6300,259.0400,283.0000,283.0000,2386323,0.0000
2020-05-22,258.5900,274.6100,256.5400,269.8700,269.8700,2001352,0.0000
2020-05-15,259.9900,268.2000,244.5300,253.9300,253.9300,2428476,0.0000
2020-05-08,254.5800,269.5650,254.5500,263.0200,263.0200,3250278,0.0000
2020-05-01,264.1800,268.0900,252.7700,255.6400,255.6400,2952714,0.0000
2020-04-24,262.4400,268.4400,252.7200,259.4500,259.4500,2295009,0.0000
2020-04-17,234.8800,264.7900,234.2100,263.9000,263.9000,2824848,0.0000
2020-04-09,229.2100,252.0000,227.7600,237.9200,237.9200,2606849,0.0000
2020-04-03,226.3100,237.5700,207.7945,218.3000,218.3000,3761147,0.0000
2020-03-27,212.9700,233.6300,204.2800,223.0200,223.0200,4718080,0.0000
2020-03-20,226.6300,237.4000,203.7050,213.1100,213.1100,5794251,0.0000
2020-03-13,222.5300,235.5000,200.0700,235.4200,235.4200,5505211,0.0000
2020-03-06,242.0800,261.8700,230.5000,237.7800,237.7800,4787230,0.0000
2020-02-28,279.0500,281.6300,234.0200,242.1900,242.1900,5504177,0.0000
2020-02-21,292.6000,299.0600,284.5500,287.1100,287.1100,2334904,0.0000
2020-02-14,283.2200,293.4400,281.3037,291.9800,291.9800,2868152,0.0000
2020-02-07,279.6600,293.4300,276.7700,284.8300,284.8300,2584387,0.0000
2020-01-31,270.4800,280.9700,268.1600,274.3300,274.3300,1930856,0.0000
2020-01-24,269.9000,280.2200,268.6800,277.3400,277.3400,2129106,0.0000
2020-01-17,262.7400,270.6000,261.5700,270.2800,270.2800,2613985,0.0000
2020-01-10,255.4600,263.0573,252.6200,260.8000,260.8000,2195241,0.0000
2020-01-03,258.5200,259.6600,253.7500,256.9700,256.9700,1848961,0.0000
2019-12-27,259.1300,259.7500,253.5400,258.6800,258.6800,1583818,0.0000
2019-12-20,257.1800,260.1000,253.5200,258.8900,258.8900,5879177,0.0000
2019-12-13,255.8200,258.5200,246.3900,253.9300,253.9300,3269016,0.0000
2019-12-06,254.8100,256.9200,243.0100,256.6300,256.6300,2962070,0.0000
2019-11-29,248.0500,256.3600,246.9200,254.6900,254.6900,1551392,0.0000
2019-11-22,234.6000,248.3200,234.0100,246.3800,246.3800,2715280,0.0000
2019-11-15,223.6900,235.5850,222.6500,235.1500,235.1500,2088442,0.0000
2019-11-08,221.6100,228.0300,206.7250,224.3100,224.3100,2939136,0.0000
2019-11-01,221.4300,225.5500,219.4900,220.0000,220.0000,2117915,0.0000
2019-10-25,219.2400,223.2200,213.6700,220.2500,220.2500,1864632,0.0000
2019-10-18,223.4100,229.2000,216.1000,218.4300,218.4300,1780932,0.0000
2019-10-11,224.3400,227.6800,216.5200,224.1600,224.1600,1522967,0.0000
